cells,UMAP1,UMAP2
CY89FNAQ2_C01_S409_comb,8.400361,17.044538
Cy80_II_CD45_B12_S888_comb,9.441578,13.013056
cy80_CD45_neg_D09_S909_comb,9.805766,14.282256
CY89CORE11_G08_S176_comb,7.9710402,17.26512
CY88_3_E10_S634_comb,7.4925575,14.988024
cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb,10.672315,17.002386
Cy80_II_CD45_A09_S873_comb,9.3972435,13.043726
cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb,9.877936,16.144114
cy81_Bulk_CD45_neg_F05_S161_comb,9.88729,10.408032
cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb,10.521522,15.854027
cy81_FNA_CD45_neg_G03_S1035_comb,9.609687,11.146261
cy82_CD45_neg_1_D05_S233_comb,12.044675,13.221499
